	champion	ck_rate	cs_per_min	kda	result	timestamp
0	레넥톤	35	7.6	1.40	패배	2017년 6월 20일 오전 3시 10분
1	블라디미르	54	7.3	1.40	패배	2017년 6월 20일 오전 2시 32분
2	블라디미르	30	6.5	0.60	패배	2017년 6월 20일 오전 1시 57분
3	자이라	55	5.3	3.00	패배	2017년 6월 20일 오전 1시 25분
4	트위스티드 페이트	70	4.8	2.31	승리	2017년 6월 20일 오전 12시 18분
5	다리우스	67	6.2	0.67	패배	2017년 6월 19일 오후 11시 16분
6	블라디미르	50	6.6	2.00	패배	2017년 6월 19일 오후 10시 53분
7	레넥톤	41	5.5	1.50	패배	2017년 6월 19일 오후 10시 06분
8	레넥톤	50	6	1.89	패배	2017년 6월 19일 오후 9시 22분
9	그레이브즈	42	4	3.33	승리	2017년 6월 18일 오후 12시 15분
10	레넥톤	46	6.2	0.67	패배	2017년 6월 18일 오전 11시 34분
11	레넥톤	43	6.7	2.25	승리	2017년 6월 18일 오전 11시 03분
12	레넥톤	57	5.1	0.57	패배	2017년 6월 18일 오전 10시 26분
13	레넥톤	27	6.7	1.67	승리	2017년 6월 18일 오전 9시 55분
14	리 신	41	2.5	1.40	패배	2017년 6월 18일 오전 9시 06분
15	쓰레쉬	39	0.8	1.56	승리	2017년 6월 18일 오전 8시 35분
16	쉔	23	5.7	1.00	패배	2017년 6월 18일 오전 7시 40분
17	레넥톤	40	7.3	3.50	승리	2017년 6월 18일 오전 7시 01분
18	레넥톤	63	8.1	6.67	승리	2017년 6월 18일 오전 6시 19분
19	레넥톤	42	6.6	3.25	승리	2017년 6월 18일 오전 5시 33분
20	카사딘	57	6.1	4.33	패배	2017년 6월 18일 오전 4시 54분
21	탈리야	11	3.5	0.11	패배	2017년 6월 18일 오전 4시 15분
22	리 신	74	3	1.92	패배	2017년 6월 18일 오전 3시 33분
23	레넥톤	37	6.3	1.57	패배	2017년 6월 18일 오전 2시 32분
24	레넥톤	50	6.2	3.00	승리	2017년 6월 18일 오전 1시 38분
25	블라디미르	38	6.5	2.14	승리	2017년 6월 18일 오전 12시 51분
26	레넥톤	45	7.9	3.17	승리	2017년 6월 18일 오전 12시 01분
27	레넥톤	33	6.5	0.33	패배	2017년 6월 17일 오후 11시 19분
28	아리	56	6	1.13	패배	2017년 6월 17일 오후 10시 49분
29	르블랑	56	4.8	1.75	패배	2017년 6월 17일 오후 10시 14분
30	자야	50	6.6	0.33	패배	2017년 6월 17일 오후 9시 14분
31	블라디미르	51	5.8	2.33	승리	2017년 6월 17일 오후 8시 46분
32	블라디미르	41	5.8	4.25	승리	2017년 6월 17일 오후 8시 08분
33	신드라	37	5.5	1.08	승리	2017년 6월 17일 오후 7시 27분
34	르블랑	24	4.7	0.40	패배	2017년 6월 17일 오후 6시 40분
35	르블랑	43	6.3	4.50	승리	2017년 6월 17일 오후 6시 03분
36	르블랑	38	5.8	7.50	승리	2017년 6월 17일 오후 5시 34분
37	르블랑	59	6	3.17	승리	2017년 6월 17일 오후 4시 44분
38	다이애나	43	5.2	2.17	승리	2017년 6월 17일 오후 4시 03분
39	리븐	42	6.1	1.08	승리	2017년 6월 17일 오후 3시 21분
40	블라디미르	60	6.4	4.50	승리	2017년 6월 17일 오후 2시 38분
41	블라디미르	78	5.4	0.88	패배	2017년 6월 17일 오후 2시 04분
42	블라디미르	52	7.1	2.67	승리	2017년 6월 17일 오후 1시 09분
43	블라디미르	47	6.1	0.90	패배	2017년 6월 17일 오후 12시 25분
44	블라디미르	36	7.5	2.00	승리	2017년 6월 17일 오전 11시 46분
45	쓰레쉬	36	0.8	2.17	패배	2017년 6월 17일 오전 10시 59분
46	카시오페아	64	5.2	5.25	승리	2017년 6월 17일 오전 10시 11분
47	이렐리아	33	8	2.13	승리	2017년 6월 17일 오전 9시 02분
48	제이스	55	6.9	4.50	승리	2017년 6월 17일 오전 8시 11분
