	champion	ck_rate	cs_per_min	kda	result	timestamp
0	모르가나	60	6.3	15.00	승리	2017년 6월 17일 오후 11시 59분
1	레넥톤	23	7.4	5.00	승리	2017년 6월 17일 오후 10시 48분
2	아리	59	5	3.83	승리	2017년 6월 17일 오후 10시 01분
3	미스 포츈	71	5.2	2.14	패배	2017년 6월 16일 오후 11시 29분
4	르블랑	50	4.8	2.33	패배	2017년 6월 16일 오후 10시 38분
5	아리	67	4.9	0.67	패배	2017년 6월 16일 오후 10시 01분
6	아리	48	6.2	3.86	승리	2017년 6월 16일 오후 9시 38분
7	아리	67	6	3.14	승리	2017년 6월 16일 오전 12시 03분
8	베인	33	5.3	0.75	패배	2017년 6월 14일 오후 11시 24분
9	아리	55	5.9	1.50	패배	2017년 6월 14일 오후 10시 43분
10	피즈	52	4.2	1.94	패배	2017년 6월 14일 오전 12시 23분
11	아리	42	7.1	5.00	승리	2017년 6월 13일 오후 11시 24분
12	모르가나	33	2.1	1.10	패배	2017년 6월 12일 오전 12시 37분
13	아리	50	7.1	8.00	승리	2017년 6월 11일 오전 10시 22분
14	아리	51	6.1	4.00	승리	2017년 6월 11일 오전 2시 19분
15	아리	59	5.5	3.71	승리	2017년 6월 11일 오전 1시 27분
16	아리	39	6.1	2.75	승리	2017년 6월 11일 오전 12시 45분
17	오리아나	59	7.1	1.43	패배	2017년 6월 10일 오후 11시 55분
18	베인	47	8.4	3.00	승리	2017년 6월 10일 오전 12시 46분
19	아리	74	7.4	3.71	승리	2017년 6월 9일 오후 11시 21분
20	샤코	0	3.1	0.00	패배	2017년 6월 9일 오후 10시 35분
21	케이틀린	30	6.3	1.83	승리	2017년 6월 6일 오후 2시 13분
22	쓰레쉬	61	1.8	1.75	패배	2017년 6월 6일 오후 1시 30분
23	아리	45	6.2	1.50	패배	2017년 6월 6일 오후 12시 51분
24	베인	50	6.2	2.36	승리	2017년 6월 6일 오후 12시 13분
25	진	43	6.5	3.00	패배	2017년 6월 6일 오전 11시 28분
26	그레이브즈	63	5.4	1.25	패배	2017년 6월 6일 오전 10시 45분
27	그라가스	38	3.1	0.56	패배	2017년 6월 6일 오전 2시 10분
28	에코	71	4.6	1.67	패배	2017년 6월 6일 오전 1시 08분
29	갈리오	47	4.9	1.40	패배	2017년 6월 6일 오전 12시 36분
30	이즈리얼	48	6.3	3.33	승리	2017년 6월 5일 오후 11시 33분
31	레넥톤	44	6.2	1.83	패배	2017년 6월 5일 오후 10시 48분
32	아리	63	5	3.67	승리	2017년 6월 5일 오후 10시 06분
33	아리	45	4.8	8.50	승리	2017년 6월 5일 오후 9시 24분
34	레넥톤	25	7	2.25	승리	2017년 6월 4일 오전 9시 48분
35	아리	55	6.4	3.71	승리	2017년 6월 4일 오전 12시 06분
36	야스오	29	6.8	0.57	패배	2017년 6월 3일 오후 5시 55분
