	champion	ck_rate	cs_per_min	kda	result	timestamp
0	빅토르	43	5.2	1.20	패배	2017년 5월 4일 오후 9시 19분
1	케이틀린	47	6.8	1.45	패배	2017년 4월 28일 오전 1시 10분
2	룰루	47	1.6	2.33	승리	2017년 4월 27일 오후 10시 13분
3	자야	38	4.2	0.43	패배	2017년 4월 21일 오후 10시 48분
4	이즈리얼	48	6.1	1.14	패배	2017년 4월 21일 오전 2시 25분
5	애쉬	49	5.6	3.13	승리	2017년 4월 20일 오후 7시 33분
6	쉔	61	4.8	2.36	승리	2017년 4월 20일 오전 1시 15분
7	애쉬	47	6.7	3.60	승리	2017년 4월 19일 오후 11시 18분
8	케넨	17	7.1	0.29	패배	2017년 4월 19일 오후 4시 38분
9	케넨	36	6.7	1.86	승리	2017년 4월 19일 오후 3시 59분
10	쉔	59	5.5	4.33	패배	2017년 4월 19일 오후 3시 12분
11	쉔	74	6.9	7.67	승리	2017년 4월 19일 오후 2시 35분
12	아리	39	6	3.00	승리	2017년 4월 17일 오전 12시 34분
13	바루스	70	5.7	2.33	패배	2017년 4월 17일 오전 12시 01분
14	애쉬	42	4.8	1.38	패배	2017년 4월 16일 오후 10시 35분
15	카사딘	33	5.1	1.23	승리	2017년 4월 13일 오후 3시 23분
16	다리우스	42	7	1.00	패배	2017년 4월 12일 오후 7시 48분
17	리 신	33	2.4	1.50	패배	2017년 4월 12일 오전 2시 08분
18	룰루	50	1.4	2.00	패배	2017년 4월 12일 오전 1시 30분
19	바루스	58	6.3	1.75	패배	2017년 4월 12일 오전 12시 46분
20	애쉬	60	6.2	5.40	승리	2017년 4월 11일 오후 10시 52분
21	바루스	48	8.1	2.75	패배	2017년 4월 11일 오후 10시 14분
22	엘리스	100	3.3	2.00	패배	2017년 4월 11일 오후 9시 26분
23	엘리스	42	2.5	1.23	승리	2017년 4월 11일 오전 2시 28분
24	엘리스	26	3.5	2.00	승리	2017년 4월 11일 오전 1시 38분
25	그레이브즈	38	4.4	1.20	패배	2017년 4월 11일 오전 1시 02분
26	이즈리얼	44	6.1	1.00	패배	2017년 4월 11일 오전 12시 16분
27	룰루	89	2.5	4.00	패배	2017년 4월 10일 오후 11시 41분
28	룰루	74	1.1	2.86	패배	2017년 4월 10일 오후 4시 11분
29	애쉬	27	7	0.80	패배	2017년 4월 10일 오후 3시 29분
30	카르마	50	1.3	1.33	패배	2017년 4월 10일 오전 3시 18분
31	루시안	35	6.3	1.75	패배	2017년 4월 10일 오전 2시 41분
32	애쉬	89	6.5	1.60	패배	2017년 4월 10일 오전 12시 30분
33	룰루	62	1.5	3.25	승리	2017년 4월 9일 오후 11시 51분
34	룰루	50	1.7	2.57	승리	2017년 4월 9일 오후 9시 41분
35	루시안	58	7.9	4.40	승리	2017년 4월 9일 오전 2시 10분
36	루시안	29	7	1.60	패배	2017년 4월 9일 오전 1시 24분
37	루시안	35	7.1	3.20	승리	2017년 4월 8일 오후 8시 59분
38	애쉬	68	7.4	8.67	승리	2017년 4월 8일 오후 8시 14분
39	애쉬	45	5.9	3.75	승리	2017년 4월 8일 오후 7시 32분
40	룰루	56	0.6	1.80	패배	2017년 4월 8일 오후 6시 59분
41	리 신	48	3.5	3.20	승리	2017년 4월 8일 오후 6시 14분
42	룰루	81	1.2	5.50	패배	2017년 4월 8일 오후 5시 35분
43	루시안	39	7.1	1.50	패배	2017년 4월 8일 오후 4시 56분
44	룰루	20	1.9	7.00	승리	2017년 4월 7일 오후 7시 09분
45	리 신	55	3.5	1.89	패배	2017년 4월 7일 오후 4시 58분
46	루시안	57	8	2.00	패배	2017년 4월 7일 오전 1시 15분
47	루시안	46	8.4	6.00	승리	2017년 4월 6일 오후 9시 58분
48	루시안	38	7.2	7.50	승리	2017년 4월 6일 오전 3시 16분
49	애쉬	41	6.8	2.22	승리	2017년 4월 6일 오전 2시 34분
50	피즈	41	4.8	1.33	패배	2017년 4월 6일 오전 1시 44분
51	자이라	26	1.6	3.00	승리	2017년 4월 5일 오후 3시 42분
52	그레이브즈	42	6.6	2.67	승리	2017년 4월 5일 오후 3시 00분
53	애쉬	0	5.6	0.00	패배	2017년 4월 5일 오후 2시 12분
54	이즈리얼	78	7.3	3.00	패배	2017년 4월 5일 오전 1시 42분
55	엘리스	20	4.8	0.33	패배	2017년 4월 5일 오전 12시 56분
56	루시안	38	7.7	4.50	승리	2017년 4월 5일 오전 12시 17분
57	진	44	6.1	1.70	패배	2017년 4월 4일 오후 5시 17분
58	진	40	5.8	0.60	패배	2017년 4월 4일 오후 4시 30분
59	그레이브즈	47	4.8	1.14	패배	2017년 4월 4일 오전 1시 18분
60	진	59	6.6	6.33	승리	2017년 4월 4일 오전 12시 40분
61	이즈리얼	53	7.5	1.43	패배	2017년 4월 3일 오후 6시 35분
62	진	57	8.1	1.71	패배	2017년 4월 3일 오후 5시 58분
63	엘리스	80	3.6	4.00	승리	2017년 4월 3일 오후 4시 49분
