	champion	ck_rate	cs_per_min	kda	result	timestamp
0	쓰레쉬	41	0.8	1.17	패배	2017년 6월 19일 오후 3시 29분
1	카르마	44	0.4	1.56	승리	2017년 6월 19일 오후 2시 57분
2	녹턴	67	4.2	1.43	패배	2017년 6월 19일 오후 1시 42분
3	녹턴	100	5	1.43	승리	2017년 6월 19일 오후 1시 08분
4	녹턴	47	6.2	1.75	패배	2017년 6월 19일 오후 12시 50분
5	녹턴	65	4.3	2.17	패배	2017년 6월 18일 오후 9시 29분
6	녹턴	65	4.6	2.50	패배	2017년 6월 18일 오후 9시 00분
7	녹턴	32	5.8	5.50	승리	2017년 6월 18일 오후 8시 20분
8	녹턴	64	3.4	0.88	패배	2017년 6월 18일 오후 7시 42분
9	카르마	52	0.6	2.83	패배	2017년 5월 17일 오후 8시 18분
10	카르마	60	0.6	1.50	패배	2017년 5월 17일 오후 7시 24분
11	카르마	36	0.5	0.67	패배	2017년 5월 14일 오후 11시 08분
12	럭스	46	1	0.67	패배	2017년 5월 14일 오전 1시 20분
13	룰루	79	0.5	11.00	승리	2017년 5월 14일 오전 12시 50분
14	루시안	55	7.5	2.75	승리	2017년 5월 12일 오후 5시 28분
15	루시안	45	8	3.80	승리	2017년 5월 12일 오후 5시 00분
16	이즈리얼	40	7.3	0.80	패배	2017년 5월 12일 오후 4시 21분
17	룰루	91	0.7	7.25	승리	2017년 5월 12일 오후 2시 48분
18	룰루	65	0.7	7.50	승리	2017년 5월 12일 오후 2시 04분
19	룰루	57	0.6	4.25	승리	2017년 5월 12일 오후 1시 35분
20	룰루	67	0.6	8.67	승리	2017년 5월 12일 오후 12시 57분
21	럭스	12	0.9	0.33	패배	2017년 5월 12일 오전 11시 36분
22	럭스	33	0.5	1.20	패배	2017년 5월 11일 오후 9시 59분
23	룰루	48	0.8	1.25	패배	2017년 5월 11일 오후 9시 10분
24	케넨	57	8.1	5.67	승리	2017년 5월 11일 오전 5시 24분
25	아리	48	7.1	4.00	패배	2017년 5월 11일 오전 4시 24분
26	카사딘	53	6.9	4.60	승리	2017년 5월 11일 오전 3시 43분
27	카사딘	60	4.5	8.00	승리	2017년 5월 11일 오전 3시 02분
28	카사딘	21	5.6	1.00	패배	2017년 5월 11일 오전 2시 27분
29	카사딘	63	7.3	6.00	승리	2017년 5월 11일 오전 1시 54분
30	카사딘	68	6	4.17	패배	2017년 5월 11일 오전 1시 20분
31	카사딘	62	6.9	4.67	승리	2017년 5월 11일 오전 12시 34분
32	진	37	5.4	1.40	패배	2017년 5월 10일 오후 11시 50분
33	진	50	6.4	3.43	승리	2017년 5월 10일 오후 11시 17분
34	진	56	5.5	4.50	승리	2017년 5월 10일 오후 10시 31분
35	진	52	5.4	5.00	승리	2017년 5월 10일 오후 9시 55분
36	진	59	6.3	13.00	승리	2017년 5월 10일 오후 9시 28분
37	제드	62	5.2	1.00	패배	2017년 5월 10일 오후 8시 57분
38	카사딘	42	5.2	2.29	패배	2017년 5월 10일 오전 12시 00분
39	카사딘	73	6.3	4.00	승리	2017년 5월 9일 오후 11시 20분
40	카사딘	78	6	15.50	승리	2017년 5월 9일 오후 10시 50분
41	카사딘	56	4.7	5.40	승리	2017년 5월 9일 오후 10시 11분
42	카사딘	66	5.4	7.00	승리	2017년 5월 9일 오전 6시 28분
43	카사딘	59	6.6	19.00	승리	2017년 5월 9일 오전 5시 39분
44	오리아나	42	5.7	0.71	패배	2017년 5월 9일 오전 5시 06분
45	진	31	7.2	1.00	패배	2017년 5월 9일 오전 4시 33분
46	드레이븐	56	5.9	0.90	패배	2017년 5월 9일 오전 3시 53분
47	진	43	6.3	4.25	승리	2017년 5월 9일 오전 3시 18분
48	바루스	48	6.2	7.00	승리	2017년 5월 9일 오전 2시 43분
49	라칸	50	0.2	1.33	패배	2017년 5월 9일 오전 12시 33분
50	럭스	57	0.5	2.17	패배	2017년 5월 8일 오후 11시 52분
51	룰루	31	0.6	7.00	승리	2017년 5월 8일 오후 11시 16분
52	럭스	39	0.6	5.00	승리	2017년 5월 8일 오후 10시 38분
53	잭스	78	4.7	1.75	패배	2017년 5월 8일 오전 12시 01분
54	바루스	60	7.9	3.00	패배	2017년 5월 7일 오후 11시 23분
55	미스 포츈	53	5.7	2.00	승리	2017년 5월 7일 오후 10시 39분
56	바루스	68	8.8	13.00	승리	2017년 5월 7일 오후 9시 39분
57	바루스	66	8.7	21.00	승리	2017년 5월 7일 오후 9시 11분
58	칼리스타	68	8.6	3.17	패배	2017년 5월 7일 오후 8시 43분
59	진	46	7.7	17.00	승리	2017년 5월 7일 오후 7시 59분
60	케넨	48	7.7	1.71	패배	2017년 5월 7일 오후 7시 02분
