	champion	ck_rate	cs_per_min	kda	result	timestamp
0	루시안	53	6.7	8.50	승리	2017년 6월 20일 오전 3시 45분
1	잭스	35	7.9	2.75	패배	2017년 6월 20일 오전 3시 14분
2	피오라	48	7.7	3.17	승리	2017년 6월 20일 오전 2시 33분
3	다리우스	55	7.2	1.50	패배	2017년 6월 20일 오전 1시 48분
4	징크스	42	6.7	1.60	패배	2017년 6월 20일 오전 1시 11분
5	오리아나	33	5.2	0.25	패배	2017년 6월 20일 오전 12시 42분
6	카사딘	48	5.7	3.25	승리	2017년 6월 20일 오전 12시 17분
7	루시안	63	7.3	2.50	패배	2017년 6월 19일 오후 11시 37분
8	트위치	32	5.2	1.20	패배	2017년 6월 19일 오후 11시 06분
9	트위치	50	7	5.00	승리	2017년 6월 19일 오후 10시 36분
10	트리스타나	27	6.1	0.86	패배	2017년 6월 19일 오후 9시 54분
11	트위치	50	6.8	3.00	승리	2017년 6월 19일 오후 9시 23분
12	트위치	58	7.8	10.50	승리	2017년 6월 19일 오후 8시 37분
13	트위치	58	6.8	1.40	패배	2017년 6월 19일 오후 8시 06분
14	오리아나	41	7.5	3.20	패배	2017년 6월 19일 오전 4시 20분
15	진	59	7.5	10.00	승리	2017년 6월 19일 오전 3시 38분
16	오리아나	47	7.3	2.29	승리	2017년 6월 19일 오전 3시 04분
17	오리아나	39	7.2	2.20	승리	2017년 6월 19일 오전 2시 11분
18	오리아나	56	6.4	2.38	패배	2017년 6월 19일 오전 1시 37분
19	오리아나	70	6.3	3.33	승리	2017년 6월 19일 오전 12시 52분
20	오리아나	69	7.4	6.00	승리	2017년 6월 19일 오전 12시 06분
21	오리아나	74	7.7	4.33	패배	2017년 6월 18일 오후 11시 39분
22	오리아나	67	7.6	3.00	패배	2017년 6월 18일 오후 10시 46분
23	애쉬	37	7.2	1.92	패배	2017년 6월 18일 오후 10시 05분
24	오리아나	81	7.4	10.50	승리	2017년 6월 18일 오후 8시 59분
25	케이틀린	75	5.7	0.75	패배	2017년 6월 18일 오후 8시 18분
26	징크스	56	7	10.00	승리	2017년 6월 18일 오후 7시 48분
27	룰루	54	0.4	7.00	승리	2017년 6월 18일 오전 2시 29분
28	쓰레쉬	50	2.1	1.00	패배	2017년 6월 18일 오전 1시 53분
29	케이틀린	64	5.2	1.40	패배	2017년 6월 18일 오전 1시 20분
30	케이틀린	61	8.5	2.86	패배	2017년 6월 17일 오후 11시 49분
31	케이틀린	41	7.2	3.25	승리	2017년 6월 17일 오후 11시 05분
32	징크스	77	5.9	8.00	승리	2017년 6월 17일 오후 10시 28분
33	카사딘	58	7	7.00	승리	2017년 6월 17일 오후 9시 56분
34	오리아나	66	7.1	4.17	승리	2017년 6월 17일 오후 9시 25분
35	카사딘	22	6.9	1.75	승리	2017년 6월 17일 오후 8시 37분
36	케이틀린	14	7.4	0.25	패배	2017년 6월 17일 오후 7시 58분
37	진	47	6.7	3.50	승리	2017년 6월 17일 오후 7시 28분
38	트리스타나	11	6.7	1.00	승리	2017년 6월 17일 오후 6시 51분
39	루시안	25	6.9	0.89	패배	2017년 6월 17일 오후 6시 17분
